E,N,k,C,M,lr,Y,t,fc1_units,fc2_units,a,b,p_err,episode
2000,100000,4,4,64,0.0005,0.99,0.001,128,64,0.5,0.5,0.001,426
2000,100000,4,4,64,0.0005,0.99,0.001,128,64,0.1,0.5,0.001,395
2000,100000,4,4,64,0.0005,0.99,0.001,128,64,0.5,0.3,0.001,495
2000,100000,4,4,64,0.0005,0.99,0.001,128,64,0.7,0.7,0.001,372
2000,100000,4,4,64,0.0005,0.99,0.001,128,64,0.5,0.5,0.01,442
2000,100000,4,4,64,0.0005,0.99,0.001,64,64,0.5,0.5,0.001,410
2000,100000,4,4,64,0.0005,0.99,0.001,64,64,0.1,0.5,0.001,416
2000,100000,4,4,64,0.0005,0.99,0.001,64,64,0.5,0.3,0.001,488
2000,100000,4,4,64,0.0005,0.99,0.001,64,64,0.7,0.7,0.001,395
2000,100000,4,4,64,0.0005,0.99,0.001,64,64,0.5,0.5,0.01,384
