E,N,k,C,M,lr,Y,t,fc1_units,fc2_units,a,b,p_err
2000,100000,4,4,256,0.0005,0.99,0.001,128,64,0.5,0.5,0.001
2000,100000,4,4,256,0.0005,0.99,0.001,128,64,0.1,0.5,0.001
2000,100000,4,4,256,0.0005,0.99,0.001,128,64,0.5,0.3,0.001
2000,100000,4,4,256,0.0005,0.99,0.001,128,64,0.7,0.7,0.001
2000,100000,4,4,256,0.0005,0.99,0.001,128,64,0.5,0.5,0.01
