E,N,k,C,M,lr,Y,t,fc1_units,fc2_units,a,b,p_err,episode
2000,100000,10,10,64,0.0005,0.99,0.001,128,64,0.5,0.5,0.001,549.0
2000,100000,10,10,64,0.0005,0.99,0.001,128,64,0.1,0.5,0.001,533.0
2000,100000,10,10,64,0.0005,0.99,0.001,128,64,0.5,0.3,0.001,647.0
2000,100000,10,10,64,0.0005,0.99,0.001,128,64,0.7,0.7,0.001,630.0
2000,100000,10,10,64,0.0005,0.99,0.001,128,64,0.5,0.5,0.01,509.0
2000,100000,4,4,64,0.005,0.99,0.001,128,64,0.5,0.5,0.001,1078.0
2000,100000,4,4,64,0.005,0.99,0.001,128,64,0.1,0.5,0.001,1817.0
2000,100000,4,4,64,0.005,0.99,0.001,128,64,0.5,0.3,0.001,
2000,100000,4,4,64,0.005,0.99,0.001,128,64,0.7,0.7,0.001,
2000,100000,4,4,64,0.005,0.99,0.001,128,64,0.5,0.5,0.01,999.0
