E,N,k,C,M,lr,Y,t,fc1_units,fc2_units,a,b,p_err,episode
2000,100000,4,4,64,0.0005,0.99,0.05,128,64,0.5,0.5,0.001,555
2000,100000,4,4,64,0.0005,0.99,0.05,128,64,0.1,0.5,0.001,697
2000,100000,4,4,64,0.0005,0.99,0.05,128,64,0.5,0.3,0.001,1548
2000,100000,4,4,64,0.0005,0.99,0.05,128,64,0.7,0.7,0.001,410
2000,100000,4,4,64,0.0005,0.99,0.05,128,64,0.5,0.5,0.01,636
2000,100000,4,4,128,0.0005,0.99,0.001,128,64,0.5,0.5,0.001,433
2000,100000,4,4,128,0.0005,0.99,0.001,128,64,0.1,0.5,0.001,456
2000,100000,4,4,128,0.0005,0.99,0.001,128,64,0.5,0.3,0.001,674
2000,100000,4,4,128,0.0005,0.99,0.001,128,64,0.7,0.7,0.001,410
2000,100000,4,4,128,0.0005,0.99,0.001,128,64,0.5,0.5,0.01,417
